Pais,Anio,Emisiones_de_CO2
Surinam,1986,1.2
Surinam,2002,1.7
Surinam,2005,1.9
Surinam,2001,1.6
Surinam,1983,1.6
Surinam,2003,1.8
Surinam,2004,1.8
Surinam,1982,1.8
Uruguay,1988,4.0
Uruguay,1989,4.7
Uruguay,1990,4.9
Uruguay,1991,4.5
Uruguay,1992,4.2
Uruguay,1993,4.5
Uruguay,1994,4.9
Uruguay,1995,4.6
Uruguay,1996,4.7
Uruguay,1997,4.9
Uruguay,1998,5.2
Uruguay,1999,6.4
Uruguay,2000,7.239235198
Uruguay,2001,6.478470396
Uruguay,2002,4.980301899
Uruguay,2003,5.342463531
Uruguay,2004,5.521395551
Uruguay,2005,6.039373807
Uruguay,2006,6.281632794
Uruguay,2007,7.340428368
Uruguay,2008,6.508653095
Uruguay,2009,8.040470671
Uruguay,2010,9.082078429
Uruguay,2011,8.158376624
Uruguay,2012,9.162558411
Uruguay,2013,9.813243621
Uruguay,2014,8.494611416
Uruguay,2015,7.500800101
Uruguay,2016,8.072587193
Uruguay,2017,7.914768354
Uruguay,2018,6.936088697
Uruguay,2019,7.311541742
Uruguay,1981,5.757630463
Uruguay,1982,5.204365232
Uruguay,1983,4.902182616
Uruguay,1984,3.9
Uruguay,1985,3.7
Uruguay,1986,3.4
Uruguay,1987,3.4
Uruguay,1980,-1.0
Barbados,1988,1.222220132
Barbados,1989,1.149995297
Barbados,1990,1.25555033
Barbados,1991,1.266699837
Barbados,1992,1.364738077
Barbados,1993,1.394164475
Barbados,1994,1.392202715
Barbados,1995,1.290240956
Barbados,1996,1.392202715
Barbados,1997,1.088279196
Barbados,1998,1.484355676
Barbados,1999,1.472585116
Barbados,2000,1.592202715
Barbados,2001,1.674374634
Barbados,2002,1.662776317
Barbados,2003,1.656891037
Barbados,2004,1.656891037
Barbados,2005,1.158852797
Barbados,2006,1.551695148
Barbados,2007,1.45270089
Barbados,2008,1.409851156
Barbados,2009,1.43339064
Barbados,2010,1.532032888
Barbados,2011,1.431680878
Barbados,2012,1.926933182
Barbados,2013,1.810688761
Barbados,2014,1.852327062
Barbados,2015,1.609840058
Barbados,2016,1.711547679
Barbados,2017,1.73882031
Barbados,2018,1.593928257
Barbados,2019,1.702104465
Barbados,1981,0.970850132
Barbados,1982,1.022220132
Barbados,1983,1.022220132
Barbados,1984,1.122220132
Barbados,1985,1.022220132
Barbados,1986,1.122220132
Barbados,1987,1.322220132
Barbados,1980,-1.0
Colombia,1988,41.741466211
Colombia,1989,43.302720807
Colombia,1990,45.545017981
Colombia,1991,45.64321413
Colombia,1992,45.627835323
Colombia,1993,49.94907226
Colombia,1994,51.46905755
Colombia,1995,51.650999973
Colombia,1996,49.859156542
Colombia,1997,50.028284209
Colombia,1998,54.919082526
Colombia,1999,54.493185478
Colombia,2000,49.087333481
Colombia,2001,49.326557993
Colombia,2002,49.305265071
Colombia,2003,48.644347855
Colombia,2004,47.68506091
Colombia,2005,47.774658007
Colombia,2006,47.331514297
Colombia,2007,49.335075092
Colombia,2008,48.877657404
Colombia,2009,46.742661536
Colombia,2010,51.367881395
Colombia,2011,50.91967204
Colombia,2012,58.775110568
Colombia,2013,63.822093945
Colombia,2014,68.159642685
Colombia,2015,75.735832204
Colombia,2016,75.285248861
Colombia,2017,78.012255536
Colombia,2018,70.05042621
Colombia,2019,75.94596771
Colombia,1981,35.776157788
Colombia,1982,36.664233466
Colombia,1983,36.996154552
Colombia,1984,37.508295222
Colombia,1985,40.673898405
Colombia,1986,41.335262269
Colombia,1987,41.786472429
Colombia,1980,-1.0
Dominica,1988,0.04337
Dominica,1989,0.05548
Dominica,1990,0.05862
Dominica,1991,0.05852
Dominica,1992,0.05845
Dominica,1993,0.05909
Dominica,1994,0.06224
Dominica,1995,0.07183
Dominica,1996,0.08101
Dominica,1997,0.08119
Dominica,1998,0.08116
Dominica,1999,0.0843
Dominica,2000,0.0843
Dominica,2001,0.07958
Dominica,2006,0.0924
Dominica,2008,0.121246436
Dominica,2012,0.170095617
Dominica,2013,0.169940463
Dominica,2014,0.161291994
Dominica,2015,0.171749852
Dominica,2016,0.18743
Dominica,2017,0.18855
Dominica,2018,0.177435879
Dominica,2019,0.185983702
Dominica,1981,0.02679
Dominica,1982,0.03498
Dominica,1983,0.03502
Dominica,1984,0.03498
Dominica,1985,0.03501
Dominica,1986,0.03991
Dominica,1987,0.04022
Dominica,1980,-1.0
Dominica,2002,0.1
Dominica,2003,0.1
Dominica,2004,0.1
Dominica,2005,0.1
Dominica,2007,0.1
Dominica,2009,0.1
Dominica,2010,0.1
Dominica,2011,0.1
Honduras,1990,2.4
Honduras,1991,2.7
Honduras,1992,2.701748706
Honduras,1993,2.701471668
Honduras,1994,2.70235723
Honduras,1995,3.002171336
Honduras,1996,3.502101996
Honduras,1997,3.901707881
Honduras,1998,3.801451851
Honduras,1999,4.401702564
Honduras,2000,4.602306482
Honduras,2001,4.30069054
Honduras,2002,5.000130689
Honduras,2003,5.601700855
Honduras,2004,5.601127262
Honduras,2005,6.601806139
Honduras,2006,6.802419937
Honduras,2007,7.103156316
Honduras,2008,7.982011697
